1 
!PHOTOSPHERE 64082 
1.0524671975914243e-01 1.8370883268777518e-03 9.9444444444444446e-01 -2.6164359266289888e-01 
1.8178417774905223e-01 3.1730546255323527e-03 9.8333333333333328e-01 -2.2782747602891434e-01 
1.8170111369931710e-01 6.3451427078876979e-03 9.8333333333333328e-01 -2.2874404630018147e-01 
1.8156270173017097e-01 9.5152979983074443e-03 9.8333333333333328e-01 -2.2965912999516960e-01 
1.8136898400324042e-01 1.2682554836780142e-02 9.8333333333333328e-01 -2.3057242448061038e-01 
1.8112001952682172e-01 1.5845948446190888e-02 9.8333333333333328e-01 -2.3148353541027444e-01 
1.8081588413790611e-01 1.9004515226201779e-02 9.8333333333333328e-01 -2.3239198373347422e-01 
1.8045667047907929e-01 2.2157293046773895e-02 9.8333333333333328e-01 -2.3329721542906703e-01 
1.8004248797030153e-01 2.5303321541241444e-02 9.8333333333333328e-01 -2.3419861376676893e-01 
1.7957346277557726e-01 2.8441642398848756e-02 9.8333333333333328e-01 -2.3509551384405780e-01 
1.7904973776452435e-01 3.1571299656660994e-02 9.8333333333333328e-01 -2.3598721909780732e-01 
1.7847147246885461e-01 3.4691339990759774e-02 9.8333333333333328e-01 -2.3687301944598840e-01 
1.7783884303377892e-01 3.7800813006634806e-02 9.8333333333333328e-01 -2.3775221067723107e-01 
1.7715204216435154e-01 4.0898771528683327e-02 9.8333333333333328e-01 -2.3862411467552513e-01 
1.7641127906677054e-01 4.3984271888728908e-02 9.8333333333333328e-01 -2.3948810004451293e-01 
1.7561677938465137e-01 4.7056374213471981e-02 9.8333333333333328e-01 -2.4034360268121849e-01 
1.7476878513029370e-01 5.0114142710784279e-02 9.8333333333333328e-01 -2.4119014584302897e-01 
1.7386755461096209e-01 5.3156645954760294e-02 9.8333333333333328e-01 -2.4202735925454061e-01 
1.7291336235020316e-01 5.6182957169438483e-02 9.8333333333333328e-01 -2.4285499681247955e-01 
1.7190649900422303e-01 5.9192154511106335e-02 9.8333333333333328e-01 -2.4367295246732720e-01 
1.7084727127335053e-01 6.2183321349102830e-02 9.8333333333333328e-01 -2.4448127388908006e-01 
1.6973600180861353e-01 6.5155546545033027e-02 9.8333333333333328e-01 -2.4528017356144924e-01 
1.6857302911345604e-01 6.8107924730309660e-02 9.8333333333333328e-01 -2.4607003699307675e-01 
1.6735870744062697e-01 7.1039556581937155e-02 9.8333333333333328e-01 -2.4685142778528923e-01 
1.6609340668427131e-01 7.3949549096454140e-02 9.8333333333333328e-01 -2.4762508935262931e-01 
1.6477751226725662e-01 7.6837015861951005e-02 9.8333333333333328e-01 -2.4839194315392765e-01 
1.6341142502376976e-01 7.9701077328079406e-02 9.8333333333333328e-01 -2.4915308335682193e-01 
1.6199556107721863e-01 8.2540861073972016e-02 9.8333333333333328e-01 -2.4990976792627531e-01 
1.6053035171347715e-01 8.5355502073990230e-02 9.8333333333333328e-01 -2.5066340619646493e-01 
1.5901624324951127e-01 8.8144142961219377e-02 9.8333333333333328e-01 -2.5141554305413033e-01 
1.5745369689742669e-01 9.0905934288631043e-02 9.8333333333333328e-01 -2.5216783992878800e-01 
1.5584318862397895e-01 9.3640034787832838e-02 9.8333333333333328e-01 -2.5292205284975688e-01 
1.5418520900558944e-01 9.6345611625326871e-02 9.8333333333333328e-01 -2.5368000789051276e-01 
1.5248026307891119e-01 9.9021840656198942e-02 9.8333333333333328e-01 -2.5444357437620369e-01 
1.5072887018698963e-01 1.0166790667516104e-01 9.8333333333333328e-01 -2.5521463627915009e-01 
1.4893156382106576e-01 1.0428300366487074e-01 9.8333333333333328e-01 -2.5599506226874486e-01 
